Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen_x,Playcount_LastFM_x,Listeners_LastFM_x,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Charo,Latin (Origen: spanish pop),Canción,Por Tí,2010,4BSuLHnquqgDwCCfDyhKRk,2gSFWPqXo73QisLT5NbmPG,Spanish Pop: Loca De Amor,2010,Charo,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108117,19047,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108180,19058
Charo,Latin (Origen: spanish pop),Canción,Corazón,2010,38jNOZiaoWRC6VaeHHkMxQ,2gSFWPqXo73QisLT5NbmPG,Spanish Pop: Loca De Amor,2010,Charo,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108117,19047,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108180,19058
Bulldog,Latin (Origen: spanish pop),Canción,Cementerio Punk,2010,4Dh5TroTXJHxfN1oAMbVsy,1Mby0Orwj1yTbldgZ7FTgn,"Pogo, Punk Y Sentimiento",2010,Bulldog,"Bulldog is a name used by different artists

(1) An Argentinean punk band consisting of Guillermo ""Willy"" Tagliarini in guitar, Hernán ""Mantu"" Mantoani in guitar and vox, Luis ""Bebe"" Gindre in drums and Ramiro ""Rata"" España in bass.

(2) A Polish hardcore band from the southern city of Krakow, who have made some name as defenders of working class values and old school hardcore (in the vein of early Agnostic Front) by means of songs like ""the working minority,"" ""in the bar"" and ""Saturday night fight"". <a href=""https://www.last.fm/music/Bulldog"">Read more on Last.fm</a>",290024,11147,"Bulldog is a name used by different artists

(1) An Argentinean punk band consisting of Guillermo ""Willy"" Tagliarini in guitar, Hernán ""Mantu"" Mantoani in guitar and vox, Luis ""Bebe"" Gindre in drums and Ramiro ""Rata"" España in bass.

(2) A Polish hardcore band from the southern city of Krakow, who have made some name as defenders of working class values and old school hardcore (in the vein of early Agnostic Front) by means of songs like ""the working minority,"" ""in the bar"" and ""Saturday night fight"". <a href=""https://www.last.fm/music/Bulldog"">Read more on Last.fm</a>",290263,11154
Michael Marc,Latin (Origen: spanish pop),Canción,Danny Boy (Irish Traditional),2010,3oesII0XoQjkHO7FeFqsq9,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Nelly Furtado,Latin (Origen: spanish pop),Canción,Manos Al Aire - Best Of Version,2010,5c83v9ofBkl5tvWFSTjmli,1OOabdC8rh1cOFMfRmPyOp,The Best Of Nelly Furtado (Spanish Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,30 Años Después (Spanish Pop),2010,0eFBqZz1z9WM1kQaUGMdKZ,34FRjQgzXPIYpO0XmagPX0,Módulos & Los Iberos 30 Años Después,2010,Módulos & Los Iberos," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334
Nelly Furtado,Latin (Origen: spanish pop),Canción,Fotografía - Duet With Juanes,2010,5aOGzM5SyTexiDzWcY7WjG,1OOabdC8rh1cOFMfRmPyOp,The Best Of Nelly Furtado (Spanish Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Michael Marc,Latin (Origen: spanish pop),Canción,Aphrodite (Original Composition),2010,3qJhufnCKide8VN9mxWzIl,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,Tenderly (Louis Armstrong Cover),2010,0Hm0cGqekU7lfpxS7dqIRb,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Los Angeles,Latin (Origen: spanish pop),Canción,¿Has Amado Alguna Vez?,2010,7y9K9UZVfTDPCVBtzEr1B7,75vcvfORa4otql73VM8txK,Spanish Pop Story (Vol. 9),2010,Los Angeles,"LOS ANGELES presents the shining talents of Michele Luppi: an Italian amazing singer who cut his teeth at the VIT Los Angeles, with Robin Randall (co-writer of hits for FM, Mark Free, James Christian etc) as one of his musical coaches.

Upon his return to Italy, he gathered considerable experience having the opportunity to sing alongside some of the most important national and international artists, including: Maurizio Solieri, Andrea Braido, Umberto Tozzi, Glenn Hughes and Ian Paice of Deep Purple. <a href=""https://www.last.fm/music/LOS+ANGELES"">Read more on Last.fm</a>",124460,11778,"LOS ANGELES presents the shining talents of Michele Luppi: an Italian amazing singer who cut his teeth at the VIT Los Angeles, with Robin Randall (co-writer of hits for FM, Mark Free, James Christian etc) as one of his musical coaches.

Upon his return to Italy, he gathered considerable experience having the opportunity to sing alongside some of the most important national and international artists, including: Maurizio Solieri, Andrea Braido, Umberto Tozzi, Glenn Hughes and Ian Paice of Deep Purple. <a href=""https://www.last.fm/music/LOS+ANGELES"">Read more on Last.fm</a>",124524,11790
Los Angeles,Latin (Origen: spanish pop),Canción,Abre tu Ventana,2010,4fRunoCryXDEHEcqejx9kb,75vcvfORa4otql73VM8txK,Spanish Pop Story (Vol. 9),2010,Los Angeles,"LOS ANGELES presents the shining talents of Michele Luppi: an Italian amazing singer who cut his teeth at the VIT Los Angeles, with Robin Randall (co-writer of hits for FM, Mark Free, James Christian etc) as one of his musical coaches.

Upon his return to Italy, he gathered considerable experience having the opportunity to sing alongside some of the most important national and international artists, including: Maurizio Solieri, Andrea Braido, Umberto Tozzi, Glenn Hughes and Ian Paice of Deep Purple. <a href=""https://www.last.fm/music/LOS+ANGELES"">Read more on Last.fm</a>",124460,11778,"LOS ANGELES presents the shining talents of Michele Luppi: an Italian amazing singer who cut his teeth at the VIT Los Angeles, with Robin Randall (co-writer of hits for FM, Mark Free, James Christian etc) as one of his musical coaches.

Upon his return to Italy, he gathered considerable experience having the opportunity to sing alongside some of the most important national and international artists, including: Maurizio Solieri, Andrea Braido, Umberto Tozzi, Glenn Hughes and Ian Paice of Deep Purple. <a href=""https://www.last.fm/music/LOS+ANGELES"">Read more on Last.fm</a>",124524,11790
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Mañana (Spanish Pop),2010,6tFINhBMrpSAhtJlxzPrp0,34FRjQgzXPIYpO0XmagPX0,Módulos & Los Iberos 30 Años Después,2010,Módulos & Los Iberos," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334
Expulsados,Latin (Origen: spanish pop),Canción,El Otro,2010,79tGkWqtSBKgwgC2xwsqLA,08pE5qhZHO6UdxHp81GjXp,Retrato de un Cazador,2010,Expulsados,"Expulsados are an Argentine punk rock band from Banfield, Buenos Aires. The band's original line-up was composed of lead singer Sebastián (who is the only original member left), guitarist Miguel Montiel, bassist Juan Novoa, and drummer Guillermo Beatriche. Their first show was on May 25, 1993 at Paideia High School in Temperley. Expulsados have released seven studio albums.

Like the Ramones, each band member uses the same last name, in this case ""Explusado"". <a href=""https://www.last.fm/music/Expulsados"">Read more on Last.fm</a>",284982,9818,"Expulsados are an Argentine punk rock band from Banfield, Buenos Aires. The band's original line-up was composed of lead singer Sebastián (who is the only original member left), guitarist Miguel Montiel, bassist Juan Novoa, and drummer Guillermo Beatriche. Their first show was on May 25, 1993 at Paideia High School in Temperley. Expulsados have released seven studio albums.

Like the Ramones, each band member uses the same last name, in this case ""Explusado"". <a href=""https://www.last.fm/music/Expulsados"">Read more on Last.fm</a>",285204,9823
Michael Marc,Latin (Origen: spanish pop),Canción,September in the Rain (Frank Sinatra Cover),2010,7KekPWBMs2DNeWPGSelSXv,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Bulldog,Latin (Origen: spanish pop),Canción,Mas que diez,2010,5Q31cJ3oZuvZYUaA3MdtHQ,1Mby0Orwj1yTbldgZ7FTgn,"Pogo, Punk Y Sentimiento",2010,Bulldog,"Bulldog is a name used by different artists

(1) An Argentinean punk band consisting of Guillermo ""Willy"" Tagliarini in guitar, Hernán ""Mantu"" Mantoani in guitar and vox, Luis ""Bebe"" Gindre in drums and Ramiro ""Rata"" España in bass.

(2) A Polish hardcore band from the southern city of Krakow, who have made some name as defenders of working class values and old school hardcore (in the vein of early Agnostic Front) by means of songs like ""the working minority,"" ""in the bar"" and ""Saturday night fight"". <a href=""https://www.last.fm/music/Bulldog"">Read more on Last.fm</a>",290024,11147,"Bulldog is a name used by different artists

(1) An Argentinean punk band consisting of Guillermo ""Willy"" Tagliarini in guitar, Hernán ""Mantu"" Mantoani in guitar and vox, Luis ""Bebe"" Gindre in drums and Ramiro ""Rata"" España in bass.

(2) A Polish hardcore band from the southern city of Krakow, who have made some name as defenders of working class values and old school hardcore (in the vein of early Agnostic Front) by means of songs like ""the working minority,"" ""in the bar"" and ""Saturday night fight"". <a href=""https://www.last.fm/music/Bulldog"">Read more on Last.fm</a>",290263,11154
2 minutos,Latin (Origen: spanish pop),Canción,Cabeza de limón,2010,1T0NL18dUEk23y1QgRERK0,5ak3UleVbbRDoLwUS8Nxui,"Vamos a la Granja, Directo al Infierno",2010,2 minutos,"Los integrantes de Dos Minutos se juntaron en 1987 y comenzaron a tocar en el '89, en plena hiperinflación: «en esas circunstancias empezamos nosotros, Alfonsín dejaba el gobierno, asumía Menem y debutábamos la noche en que la gente salìa a saquear mercados para poder comer...».

Ya habían grabado los temas ""Ya no sos igual"" y ""Arrebato"" en un álbum independiente junto a otras bandas.

""Valentín Alsina"" (1994) es el título del primer disco, en homenaje a su ciudad de origen. <a href=""https://www.last.fm/music/2+Minutos"">Read more on Last.fm</a>",2477943,70603,"Los integrantes de Dos Minutos se juntaron en 1987 y comenzaron a tocar en el '89, en plena hiperinflación: «en esas circunstancias empezamos nosotros, Alfonsín dejaba el gobierno, asumía Menem y debutábamos la noche en que la gente salìa a saquear mercados para poder comer...».

Ya habían grabado los temas ""Ya no sos igual"" y ""Arrebato"" en un álbum independiente junto a otras bandas.

""Valentín Alsina"" (1994) es el título del primer disco, en homenaje a su ciudad de origen. <a href=""https://www.last.fm/music/2+Minutos"">Read more on Last.fm</a>",2481321,70670
Ryan Paris,Latin (Origen: spanish pop),Canción,Yo Quiero Amarte Una Vez Más - Spanish Version,2010,1oiUgG4ECcS6c1gvYbqVSy,0E98pWsHNzi1jLR7FZzAMW,I Wanna Love You Once Again,2010,Ryan Paris,"Ryan Paris (born Fabio Roscioli in 1953 in Rome, Italy) is an artist who gained international popularity in 1983 for the worldwide hit, Dolce Vita, composed and produced by Pierluigi Giombini. Paris continued to release in the mid-1980s and 1990s, but was never able to duplicate the success of his previous hit.

 <a href=""https://www.last.fm/music/Ryan+Paris"">Read more on Last.fm</a>",868598,156863,"Ryan Paris (born Fabio Roscioli in 1953 in Rome, Italy) is an artist who gained international popularity in 1983 for the worldwide hit, Dolce Vita, composed and produced by Pierluigi Giombini. Paris continued to release in the mid-1980s and 1990s, but was never able to duplicate the success of his previous hit.

 <a href=""https://www.last.fm/music/Ryan+Paris"">Read more on Last.fm</a>",869342,156954
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Summertime Girl (Spanish Pop),2010,6eDLGzfCgcIHHW2YzZFkEe,34FRjQgzXPIYpO0XmagPX0,Módulos & Los Iberos 30 Años Después,2010,Módulos & Los Iberos," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334
Spanish Harlem Orchestra,Latin (Origen: spanish pop),Canción,Como Baila Mi Mulata,2010,317kfYv0kfY8YQUBW6kglx,6APptXUs4Fww2xxIYZ5zKK,Viva La Tradición,2010,Spanish Harlem Orchestra,"Spanish Harlem Orchestra, the two-time Grammy winning Salsa and Latin Jazz band, sets the standard for excellence for authentic, New York style, hard core salsa. Live or recorded, it doesn't get any better.

Whether a concert hall or an outdoor jazz festival, there is no easing you in, they are coming at you full force from start to finish. Their energy on stage, rich sound and musical precision leave audiences mesmerized until the last note is played. <a href=""https://www.last.fm/music/Spanish+Harlem+Orchestra"">Read more on Last.fm</a>",275682,54082,"Spanish Harlem Orchestra, the two-time Grammy winning Salsa and Latin Jazz band, sets the standard for excellence for authentic, New York style, hard core salsa. Live or recorded, it doesn't get any better.

Whether a concert hall or an outdoor jazz festival, there is no easing you in, they are coming at you full force from start to finish. Their energy on stage, rich sound and musical precision leave audiences mesmerized until the last note is played. <a href=""https://www.last.fm/music/Spanish+Harlem+Orchestra"">Read more on Last.fm</a>",275796,54094
M,Latin (Origen: spanish pop),Canción,"Te Gusta? (feat. Donatella Milani, Miriam Fecchi) [Spanish Version]",2010,7wnE4Zq2UA0DYCsgm1hBQd,6hafbogoUJQJLxiXpybOCE,Te Gusta? / Ci stai?,2010,M,"1) ""M"" is Robin Scott's musical collaboration which had a hit with ""Pop Muzik"", reaching No. 1 in the US on November 3, 1979, and No. 2 in the UK charts in April 1979. Other members of ""M"" at one time or another included Mark King, Brigit Novik, Wally Badarou and Phil Gould, who were later to become ""Level 42"".

2) ""M"" is Matthieu Chedid, a french singer born in 1971. For more, see also ""-M-"" for an alternate labelling convention.

3) ""M"" (이민우/Lee Minwoo/Minwoo) is a South Korean pop/r 'n b singer. <a href=""https://www.last.fm/music/M"">Read more on Last.fm</a>",4643376,413372,,,
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Con Tu Amor (Spanish Pop),2010,42s77DxrNLXzLWKK9WbNgP,34FRjQgzXPIYpO0XmagPX0,Módulos & Los Iberos 30 Años Después,2010,Módulos & Los Iberos," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334
Michael Marc,Latin (Origen: spanish pop),Canción,On a Clear Day (You Can See Forever),2010,76xXaJIRYSfVOlh4JhujOV,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,Michelle (Beatles Classic),2010,4fT1irWmSyVirLT3nzlVIj,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Nelly Furtado,Latin (Origen: spanish pop),Canción,Manos Al Aire - Best Of Version,2010,4n5M9EkFG5vflTwUhZwyiV,3JNOWU5SDkOeo24H6jHyUV,The Best of Nelly Furtado (Spanish Deluxe Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Nelly Furtado,Latin (Origen: spanish pop),Canción,Manos Al Aire - Best Of Version,2010,1YWfSvPyRVv6C3Kq2a9ysV,472G6dTzOLZxPoBWvH5atQ,The Best of Nelly Furtado (Spanish Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Nelly Furtado,Latin (Origen: spanish pop),Canción,Te Busque - Spanish Version,2010,5c9m0DqFEjU5oaP72jDDHt,3JNOWU5SDkOeo24H6jHyUV,The Best of Nelly Furtado (Spanish Deluxe Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Felipe Conde,Latin (Origen: spanish pop),Canción,Echo de Menos (Spanish Pop),2010,1BZRwolevmiiDAKAsUTBzX,1PhIFGNj6lRsbcLXoHxY8g,Rumores,2010,Felipe Conde," <a href=""https://www.last.fm/music/Felipe+Conde"">Read more on Last.fm</a>",4385,732," <a href=""https://www.last.fm/music/Felipe+Conde"">Read more on Last.fm</a>",4386,733
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Cuando Te Espero (Spanish Pop),2010,0O3z1yyNU1yqXDTPijelhU,34FRjQgzXPIYpO0XmagPX0,Módulos & Los Iberos 30 Años Después,2010,Módulos & Los Iberos," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334
Nelly Furtado,Latin (Origen: spanish pop),Canción,Fotografía - Duet With Juanes,2010,6kQvAQSLcwv52vJ0JSTtq9,3JNOWU5SDkOeo24H6jHyUV,The Best of Nelly Furtado (Spanish Deluxe Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Michael Marc,Latin (Origen: spanish pop),Canción,Black Orpheus (Manha De Carnaval),2010,5Cb8FCXOYVK6p571vzMbJa,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,What a Wonderful World (Louis Armstrong Cover),2010,77Hni6l1xgHiEYw38W5wNu,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,Take Five (Paul Desmond/Dave Brubeck - Instrumental),2010,1p0RqLXeZjhakOPb3JNjFm,0TfmOq6SalVkpHy1HVizCd,"Popular Romantic Hits on Spanish Acoustic Guitar, Vol. 2",2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,Dindi (Bossa Nova - Antonio Carlos Jobim Cover),2010,3dmQg3R88cHu5Z2mOVxlXu,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,I Shot the Sheriff (Eric Clapton - Instrumental),2010,62oWimGaVedU59Usz5efjq,0TfmOq6SalVkpHy1HVizCd,"Popular Romantic Hits on Spanish Acoustic Guitar, Vol. 2",2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,All Along the Watchtower (Bob Dylan / Jimi Hendrix - Instrumental),2010,4hMykzKU1vKPpP9UOfyKEi,0TfmOq6SalVkpHy1HVizCd,"Popular Romantic Hits on Spanish Acoustic Guitar, Vol. 2",2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
